qx,qy,qz,qw,qtime,mx,my,mz,mtime,ax,ay,az,atime,gyrox,gyroy,gyroz,gyrotime,linax,linay,linaz
-0.000000,-0.000000,0.000000,0.000000,30015,23676,-21758,19959,50178,-16261,4875,4352,29954,-26244,-14337,-5122,30207,19836,4860.253975,-0.270758,0.672454,0.640306,31899,604,-2133,589,31684,2946,28,568,31938,-105,-328,-17,31899,-182,-1736,392,
0.333143,-0.308740,0.633916,0.625976,33820,781,-2079,525,33555,1797,-160,1484,33820,353,-2219,-682,33820,209,180,269,
0.335936,-0.310457,0.632160,0.625409,33858,865,-2079,501,33867,1781,-140,1502,33858,191,-2256,-644,33858,196,222,265,
0.338655,-0.312327,0.630336,0.624852,33897,865,-2079,501,33867,1748,-106,1541,33935,42,-2343,-628,33935,185,266,262,
0.344126,-0.316284,0.626543,0.623687,33974,865,-2079,501,33867,1736,-94,1566,33974,42,-2393,-625,33974,172,358,268,
0.346945,-0.318316,0.624604,0.623036,34012,865,-2079,501,33867,1725,-84,1593,34012,59,-2444,-621,34012,169,407,272,
0.349863,-0.320363,0.622636,0.622325,34050,865,-2079,501,33867,1703,-71,1647,34089,99,-2507,-626,34050,169,454,272,
0.355918,-0.324495,0.618624,0.620749,34127,865,-2079,501,33867,1687,-67,1674,34127,166,-2605,-624,34127,171,504,269,
0.359024,-0.326621,0.616554,0.619904,34166,963,-2064,457,34179,1668,-66,1702,34166,151,-2660,-634,34166,181,613,260,
0.362231,-0.328768,0.614471,0.618971,34204,963,-2064,457,34179,1652,-68,1733,34204,199,-2728,-621,34204,186,666,259,
0.365451,-0.331032,0.612305,0.618018,34242,963,-2064,457,34179,1630,-67,1789,34281,147,-2802,-621,34242,190,714,258,
0.372192,-0.335630,0.607814,0.615945,34319,963,-2064,457,34179,1620,-65,1817,34319,211,-2944,-651,34319,194,764,0,
0.375675,-0.338005,0.605489,0.614820,34358,963,-2064,457,34179,1609,-66,1846,34358,212,-3018,-647,34358,200,818,245,
0.379208,-0.340466,0.603114,0.613626,34396,963,-2064,457,34179,1595,-70,1876,34396,205,-3096,-629,34396,214,930,236,
0.382797,-0.343024,0.600684,0.612356,34434,963,-2064,457,34179,1564,-72,1933,34473,196,-3184,-611,34434,220,985,225,
0.390131,-0.348430,0.595642,0.609595,34511,1071,-2010,407,34491,1546,-74,1965,34511,185,-3358,-576,34511,241,1109,199,
0.393855,-0.351271,0.592999,0.608144,34550,1071,-2010,407,34491,1528,-85,1999,34550,139,-3433,-585,34550,265,1176,187,
0.397809,-0.353969,0.590446,0.606488,34588,1071,-2010,407,34491,1497,-122,2090,34626,350,-3487,-561,34588,289,1255,180,
0.405926,-0.359372,0.585332,0.602878,34665,1071,-2010,407,34491,1483,-139,2145,34665,438,-3585,-514,34665,312,1336,174,
0.409997,-0.362133,0.582736,0.600983,34703,1071,-2010,407,34491,1468,-152,2197,34703,421,-3618,-499,34703,346,1487,150,
0.414067,-0.364946,0.580084,0.599054,34742,1071,-2010,407,34491,1454,-161,2242,34742,399,-3659,-494,34742,363,1559,137,
0.418176,-0.367734,0.577421,0.597064,34780,1150,-1980,294,34802,1433,-188,2346,34819,435,-3681,-491,34780,386,1642,130,
0.426727,-0.372866,0.572372,0.592676,34857,1150,-1980,294,34802,1425,-203,2415,34857,722,-3663,-452,34857,410,1735,126,
0.431115,-0.375257,0.569950,0.590321,34895,1150,-1980,294,34802,1420,-214,2481,34895,834,-3655,-440,34895,444,1896,117,
0.435549,-0.377587,0.567558,0.587879,34934,1150,-1980,294,34802,1421,-217,2533,34934,904,-3660,-425,34934,446,1950,106,
0.439983,-0.379907,0.565155,0.585393,34972,1150,-1980,294,34802,1421,-192,2575,35011,916,-3671,-416,34972,437,1987,85,
0.448792,-0.384628,0.560288,0.580279,35049,1150,-1980,294,34802,1417,-168,2579,35049,906,-3709,-376,35049,403,2053,37,
0.453164,-0.387026,0.557836,0.577643,35087,1258,-1966,162,35114,1414,-142,2588,35087,896,-3727,-345,35087,388,2093,19,
0.457507,-0.389434,0.555401,0.574941,35126,1258,-1966,162,35114,1426,-102,2627,35164,905,-3731,-306,35126,382,2137,10,
0.466107,-0.394184,0.550670,0.569320,35203,1258,-1966,162,35114,1447,-94,2652,35203,983,-3697,-219,35203,385,2180,11,
0.470393,-0.396438,0.548444,0.566370,35241,1258,-1966,162,35114,1471,-91,2680,35241,1061,-3657,-175,35241,399,2273,8,
0.474692,-0.398598,0.546266,0.563364,35279,1258,-1966,162,35114,1485,-84,2709,35279,1126,-3627,-171,35279,398,2314,-2,
0.478938,-0.400708,0.544084,0.560378,35318,1258,-1966,162,35114,1509,-56,2739,35356,1117,-3587,-180,35318,394,2343,-13,
0.487273,-0.404698,0.539783,0.554454,35395,1258,-1966,162,35114,1528,-44,2745,35395,1157,-3478,-195,35395,393,2368,-20,
0.491429,-0.406552,0.537746,0.551401,35433,1371,-1921,39,35426,1556,-41,2752,35433,1230,-3440,-162,35433,424,2410,-11,
