qx,qy,qz,qw,qtime,mx,my,mz,mtime,ax,ay,az,atime,gyrox,gyroy,gyroz,gyrotime,linax,linay,linaz
0.024248,0.011036,0.748156,0.662988,33290,-255,-1769,614,33162,46,100,2047,33328,0,0,0,33290,-1,-1,2
0.024247,0.011038,0.748156,0.662988,33367,-255,-1769,614,33162,46,100,2047,33367,0,1,0,33367,-1,-1,2
0.024246,0.011039,0.748157,0.662987,33405,-255,-1769,614,33162,46,100,2047,33405,0,1,1,33405,-1,-1,2
0.024246,0.011041,0.748157,0.662987,33443,-255,-1764,604,33475,46,100,2047,33443,0,0,0,33443,-1,-1,2
0.024246,0.011041,0.748158,0.662985,33482,-255,-1764,604,33475,46,100,2047,33520,0,0,0,33482,-1,-1,2
0.024251,0.011042,0.748157,0.662987,33559,-255,-1764,604,33475,46,100,2047,33559,0,0,0,33559,-1,-1,2
0.024251,0.011042,0.748157,0.662987,33597,-255,-1764,604,33475,46,100,2047,33597,0,0,0,33597,-1,-1,2
0.024251,0.011043,0.748158,0.662986,33635,-255,-1764,604,33475,46,100,2047,33674,0,0,0,33635,-1,-1,2
0.024251,0.011044,0.748158,0.662985,33712,-255,-1764,604,33475,46,100,2047,33712,0,0,1,33712,-1,-1,2
0.024251,0.011045,0.748159,0.662984,33751,-255,-1764,604,33475,46,100,2047,33751,0,0,0,33751,0,-1,2
0.024252,0.011047,0.748159,0.662984,33789,-255,-1769,584,33788,46,100,2047,33789,1,0,0,33789,0,-1,2
0.024254,0.011049,0.748158,0.662985,33827,-255,-1769,584,33788,46,100,2047,33866,1,0,0,33827,0,-1,2
0.024255,0.011052,0.748159,0.662984,33904,-255,-1769,584,33788,46,100,2047,33904,0,0,0,33904,0,-1,2
0.024257,0.011052,0.748159,0.662984,33943,-255,-1769,584,33788,46,100,2047,33943,0,0,0,33943,0,-1,2
0.024272,0.011048,0.748159,0.662983,33981,-255,-1769,584,33788,46,100,2047,33981,1,0,0,33981,0,-1,2
0.024270,0.011048,0.748160,0.662982,34019,-255,-1769,584,33788,46,100,2047,34058,0,1,0,34019,0,-1,2
0.024271,0.011049,0.748160,0.662983,34096,-255,-1769,584,33788,46,100,2047,34096,0,0,0,34096,0,-1,2
0.024273,0.011049,0.748158,0.662984,34135,-270,-1774,584,34101,46,100,2047,34135,0,0,-1,34135,0,-1,2
0.024272,0.011050,0.748158,0.662984,34173,-270,-1774,584,34101,46,100,2047,34211,0,0,0,34173,0,-1,2
0.024273,0.011051,0.748158,0.662984,34250,-270,-1774,584,34101,46,100,2046,34250,0,0,0,34250,0,-1,1
0.024273,0.011053,0.748158,0.662985,34288,-270,-1774,584,34101,45,100,2046,34288,0,0,0,34288,0,-1,2
0.024271,0.011053,0.748158,0.662985,34327,-270,-1774,584,34101,45,100,2047,34327,0,1,0,34327,0,-1,2
0.024270,0.011054,0.748157,0.662985,34365,-270,-1774,584,34101,45,100,2047,34365,0,0,0,34365,0,-1,2
0.024271,0.011054,0.748155,0.662987,34442,-265,-1769,594,34414,45,99,2047,34442,0,0,-1,34442,0,-1,2
0.024271,0.011055,0.748154,0.662989,34480,-265,-1769,594,34414,45,99,2047,34480,0,0,-1,34480,0,-1,1
0.024271,0.011056,0.748153,0.662990,34519,-265,-1769,594,34414,45,99,2046,34519,0,0,0,34519,0,-1,1
0.024272,0.011056,0.748153,0.662990,34557,-265,-1769,594,34414,45,99,2046,34595,0,0,0,34557,0,-1,1
0.024272,0.011058,0.748154,0.662989,34634,-265,-1769,594,34414,45,99,2046,34634,0,0,0,34634,0,255,2
0.024272,0.011059,0.748154,0.662989,34672,-265,-1769,594,34414,45,99,2047,34672,0,0,0,34672,0,0,2
0.024274,0.011061,0.748154,0.662989,34711,-250,-1769,604,34727,45,99,2046,34749,1,0,0,34711,0,0,1
0.024274,0.011062,0.748154,0.662989,34749,-250,-1769,604,34727,45,99,2046,34787,2,0,0,34787,0,0,1
0.024277,0.011065,0.748152,0.662990,34826,-250,-1769,604,34727,45,99,2046,34826,0,0,0,34826,0,0,1
0.024277,0.011066,0.748152,0.662991,34864,-250,-1769,604,34727,45,99,2046,34864,0,0,0,34864,0,0,1
0.024278,0.011067,0.748152,0.662991,34903,-250,-1769,604,34727,45,99,2046,34941,1,0,0,34903,0,0,1
